    nm         	nN
4.694790e+002	-4.204093e-002
4.693662e+002	-3.233918e-002
4.690783e+002	-3.557310e-002
4.686153e+002	-5.174269e-002
4.683931e+002	-5.012573e-002
4.682364e+002	-4.365789e-002
4.680579e+002	-3.880702e-002
4.676169e+002	-5.335965e-002
4.675697e+002	-3.880702e-002
4.673474e+002	-3.719006e-002
4.670157e+002	-4.365789e-002
4.666841e+002	-5.012573e-002
4.665931e+002	-3.880702e-002
4.662614e+002	-4.527485e-002
4.661267e+002	-3.719006e-002
4.657075e+002	-5.012573e-002
4.656166e+002	-3.880702e-002
4.654818e+002	-3.072222e-002
4.652596e+002	-2.910526e-002
4.650811e+002	-2.425438e-002
4.649901e+002	-1.293567e-002
4.645928e+002	-2.425438e-002
4.643705e+002	-2.263742e-002
4.641264e+002	-2.263742e-002
4.637728e+002	-3.072222e-002
4.633099e+002	-4.689181e-002
4.631314e+002	-4.204093e-002
4.630623e+002	-2.910526e-002
4.630369e+002	-1.293567e-002
4.625521e+002	-3.072222e-002
4.625268e+002	-1.455263e-002
4.620638e+002	-3.072222e-002
4.619947e+002	-1.778655e-002
4.618162e+002	-1.293567e-002
4.617471e+002	0.000000e+000
4.614155e+002	-6.467836e-003
4.611275e+002	-9.701754e-003
4.610803e+002	4.850877e-003
4.609456e+002	1.293567e-002
4.603951e+002	-9.701754e-003
4.602823e+002	0.000000e+000
4.597537e+002	-2.102047e-002
4.598159e+002	1.616959e-003
4.592873e+002	-1.940351e-002
4.592619e+002	-3.233918e-003
4.588865e+002	-1.293567e-002
4.588174e+002	0.000000e+000
4.585733e+002	0.000000e+000
4.583292e+002	0.000000e+000
4.581944e+002	8.084795e-003
4.575783e+002	-1.940351e-002
4.578155e+002	1.616959e-002
4.574182e+002	4.850877e-003
4.572179e+002	8.084795e-003
4.568643e+002	0.000000e+000
4.567077e+002	6.467836e-003
4.564417e+002	4.850877e-003
4.562850e+002	1.131871e-002
4.561503e+002	1.940351e-002
4.558186e+002	1.293567e-002
4.556401e+002	1.778655e-002
4.552866e+002	9.701754e-003
4.548893e+002	-1.616959e-003
4.544920e+002	-1.293567e-002
4.543572e+002	-4.850877e-003
4.541787e+002	0.000000e+000
4.539127e+002	-1.616959e-003
4.539530e+002	1.940351e-002
4.534901e+002	3.233918e-003
4.533991e+002	1.455263e-002
4.531112e+002	1.131871e-002
4.528889e+002	1.293567e-002
4.524697e+002	0.000000e+000
4.522256e+002	0.000000e+000
4.518064e+002	-1.293567e-002
4.517154e+002	-1.616959e-003
4.514932e+002	0.000000e+000
4.513365e+002	6.467836e-003
4.513331e+002	2.425438e-002
4.508920e+002	9.701754e-003
4.507136e+002	1.455263e-002
4.502725e+002	0.000000e+000
4.498096e+002	-1.616959e-002
4.498280e+002	3.233918e-003
4.495838e+002	3.233918e-003
4.494491e+002	1.131871e-002
4.491831e+002	9.701754e-003
4.486545e+002	-1.131871e-002
4.484104e+002	-1.131871e-002
4.482537e+002	-4.850877e-003
4.481846e+002	8.084795e-003
4.479186e+002	6.467836e-003
4.478276e+002	1.778655e-002
4.473647e+002	1.616959e-003
4.471424e+002	3.233918e-003
4.468326e+002	-1.616959e-003
4.467635e+002	1.131871e-002
4.464100e+002	3.233918e-003
4.462971e+002	1.293567e-002
4.460311e+002	1.131871e-002
4.460495e+002	3.072222e-002
4.455647e+002	1.293567e-002
4.452987e+002	1.131871e-002
4.450764e+002	1.293567e-002
4.448761e+002	1.616959e-002
4.448069e+002	2.910526e-002
4.444753e+002	2.263742e-002
4.440561e+002	9.701754e-003
4.437244e+002	3.233918e-003
4.438741e+002	3.233918e-002
4.437175e+002	3.880702e-002
4.434296e+002	3.557310e-002
4.429667e+002	1.940351e-002
4.426569e+002	1.455263e-002
4.428285e+002	4.527485e-002
4.422999e+002	2.425438e-002
4.422527e+002	3.880702e-002
4.418772e+002	2.910526e-002
4.414799e+002	1.778655e-002
4.411921e+002	1.455263e-002
4.412323e+002	3.557310e-002
4.408788e+002	2.748830e-002
4.407441e+002	3.557310e-002
4.403030e+002	2.102047e-002
4.402558e+002	3.557310e-002
4.399679e+002	3.233918e-002
4.401176e+002	6.144444e-002
4.394140e+002	2.748830e-002
4.391479e+002	2.587134e-002
4.387725e+002	1.616959e-002
4.389003e+002	4.365789e-002
4.384374e+002	2.748830e-002
4.382589e+002	3.233918e-002
4.382336e+002	4.850877e-002
4.379457e+002	4.527485e-002
4.377234e+002	4.689181e-002
4.371730e+002	2.425438e-002
4.372133e+002	4.527485e-002
4.367941e+002	3.233918e-002
4.364843e+002	2.748830e-002
4.363277e+002	3.395614e-002
4.361054e+002	3.557310e-002
4.355987e+002	1.616959e-002
4.357046e+002	4.204093e-002
4.356793e+002	5.821052e-002
4.351726e+002	3.880702e-002
4.348410e+002	3.233918e-002
4.347719e+002	4.527485e-002
4.345496e+002	4.689181e-002
4.342180e+002	4.042397e-002
4.339957e+002	4.204093e-002
4.336859e+002	3.719006e-002
4.336168e+002	5.012573e-002
4.333727e+002	5.012573e-002
4.327347e+002	2.102047e-002
4.327750e+002	4.204093e-002
4.327278e+002	5.659356e-002
4.320898e+002	2.748830e-002
4.319332e+002	3.395614e-002
4.320172e+002	5.821052e-002
4.314449e+002	3.395614e-002
4.313101e+002	4.204093e-002
4.312192e+002	5.335965e-002
4.310407e+002	5.821052e-002
4.305777e+002	4.204093e-002
4.303336e+002	4.204093e-002
4.301988e+002	5.012573e-002
4.300203e+002	5.497661e-002
4.297762e+002	5.497661e-002
4.293133e+002	3.880702e-002
4.289379e+002	2.910526e-002
4.287812e+002	3.557310e-002
4.286028e+002	4.042397e-002
4.282055e+002	2.910526e-002
4.281145e+002	4.042397e-002
4.280891e+002	5.659356e-002
4.276043e+002	3.880702e-002
4.273602e+002	3.880702e-002
4.272036e+002	4.527485e-002
4.268281e+002	3.557310e-002
4.266715e+002	4.204093e-002
4.264055e+002	4.042397e-002
4.259644e+002	2.587134e-002
4.256984e+002	2.425438e-002
4.255199e+002	2.910526e-002
4.256915e+002	5.982748e-002
4.252942e+002	4.850877e-002
4.251595e+002	5.659356e-002
4.248059e+002	4.850877e-002
4.246055e+002	5.174269e-002
4.244927e+002	6.144444e-002
4.241172e+002	5.174269e-002
4.239388e+002	5.659356e-002
4.235852e+002	4.850877e-002
4.235380e+002	6.306140e-002
4.231407e+002	5.174269e-002
4.229622e+002	5.659356e-002
4.226524e+002	5.174269e-002
4.222770e+002	4.204093e-002
4.221641e+002	5.174269e-002
4.221388e+002	6.791228e-002
4.217634e+002	5.821052e-002
4.215630e+002	6.144444e-002
4.211876e+002	5.174269e-002
4.208122e+002	4.204093e-002
4.209181e+002	6.791228e-002
4.208271e+002	7.923099e-002
4.204736e+002	7.114619e-002
4.202513e+002	7.276316e-002
4.198540e+002	6.144444e-002
4.196099e+002	6.144444e-002
4.195408e+002	7.438011e-002
4.190122e+002	5.335965e-002
4.189869e+002	6.952924e-002
4.186552e+002	6.306140e-002
4.184329e+002	6.467836e-002
4.182982e+002	7.276316e-002
4.179228e+002	6.306140e-002
4.177005e+002	6.467836e-002
4.174564e+002	6.467836e-002
4.171466e+002	5.982748e-002
4.168587e+002	5.659356e-002
4.167021e+002	6.306140e-002
4.164580e+002	6.306140e-002
4.163451e+002	7.276316e-002
4.159040e+002	5.821052e-002
4.156162e+002	5.497661e-002
4.155689e+002	6.952924e-002
4.155873e+002	8.893274e-002
4.151682e+002	7.599707e-002
4.150553e+002	8.569882e-002
4.147236e+002	7.923099e-002
4.143701e+002	7.114619e-002
4.137978e+002	4.689181e-002
4.137943e+002	6.467836e-002
4.135721e+002	6.629532e-002
4.135467e+002	8.246491e-002
4.131057e+002	6.791228e-002
4.129709e+002	7.599707e-002
4.125736e+002	6.467836e-002
4.121763e+002	5.335965e-002
4.121729e+002	7.114619e-002
4.120819e+002	8.246491e-002
4.117502e+002	7.599707e-002
4.113748e+002	6.629532e-002
4.112182e+002	7.276316e-002
4.109303e+002	6.952924e-002
4.107518e+002	7.438011e-002
4.105951e+002	8.084795e-002
4.103510e+002	8.084795e-002
4.099318e+002	6.791228e-002
4.096439e+002	6.467836e-002
4.094873e+002	7.114619e-002
4.093088e+002	7.599707e-002
4.090428e+002	7.438011e-002
4.089737e+002	8.731579e-002
4.086201e+002	7.923099e-002
4.083103e+002	7.438011e-002
4.080662e+002	7.438011e-002
4.078221e+002	7.438011e-002
4.074685e+002	6.629532e-002
4.071588e+002	6.144444e-002
4.070896e+002	7.438011e-002
4.069549e+002	8.246491e-002
4.066013e+002	7.438011e-002
4.063572e+002	7.438011e-002
4.060912e+002	7.276316e-002
4.057158e+002	6.306140e-002
4.056248e+002	7.438011e-002
4.052275e+002	6.306140e-002
4.051146e+002	7.276316e-002
4.049142e+002	7.599707e-002
4.048014e+002	8.569882e-002
4.043384e+002	6.952924e-002
4.040286e+002	6.467836e-002
4.039814e+002	7.923099e-002
4.037154e+002	7.761403e-002
4.036463e+002	9.054970e-002
4.032052e+002	7.599707e-002
4.029173e+002	7.276316e-002
4.028263e+002	8.408187e-002
4.026478e+002	8.893274e-002
4.022724e+002	7.923099e-002
4.018532e+002	6.629532e-002
4.018279e+002	8.246491e-002
4.014744e+002	7.438011e-002
4.014490e+002	9.054970e-002
4.010080e+002	7.599707e-002
4.008076e+002	7.923099e-002
4.005197e+002	7.599707e-002
4.001661e+002	6.791228e-002
4.002502e+002	9.216666e-002
3.998966e+002	8.408187e-002
3.996306e+002	8.246491e-002
3.991677e+002	6.629532e-002
3.991204e+002	8.084795e-002
