    nm         	pN
1.998060e+002	4.088399e+002
1.996106e+002	4.068259e+002
1.994153e+002	4.048120e+002
1.992200e+002	3.980986e+002
1.990247e+002	3.954133e+002
1.988294e+002	3.907140e+002
1.986341e+002	3.846720e+002
1.984388e+002	3.833294e+002
1.982434e+002	3.799727e+002
1.980481e+002	3.759447e+002
1.978528e+002	3.692315e+002
1.976575e+002	3.678888e+002
1.974622e+002	3.598328e+002
1.972669e+002	3.605042e+002
1.970716e+002	3.551335e+002
1.968762e+002	3.497629e+002
1.966809e+002	3.464062e+002
1.964856e+002	3.437209e+002
1.962903e+002	3.376789e+002
1.960950e+002	3.370076e+002
1.958997e+002	3.316370e+002
1.957044e+002	3.255950e+002
1.955090e+002	3.229097e+002
1.953137e+002	3.208957e+002
1.951184e+002	3.155251e+002
1.949231e+002	3.121684e+002
1.947278e+002	3.121684e+002
1.945325e+002	3.061264e+002
1.943372e+002	3.027698e+002
1.941418e+002	2.973992e+002
1.939465e+002	2.920285e+002
1.937512e+002	2.880005e+002
1.935559e+002	2.853152e+002
1.933606e+002	2.839725e+002
1.931653e+002	2.779306e+002
1.929700e+002	2.759166e+002
1.927746e+002	2.698746e+002
1.925793e+002	2.631613e+002
1.923840e+002	2.624900e+002
1.921887e+002	2.577907e+002
1.919934e+002	2.524201e+002
1.917981e+002	2.530914e+002
1.916028e+002	2.504061e+002
1.914075e+002	2.443641e+002
1.912121e+002	2.403361e+002
1.910168e+002	2.356368e+002
1.908215e+002	2.316088e+002
1.906262e+002	2.329515e+002
1.904309e+002	2.269095e+002
1.902356e+002	2.201962e+002
1.900403e+002	2.201962e+002
1.898449e+002	2.141542e+002
1.896496e+002	2.107976e+002
1.894543e+002	2.081123e+002
1.892590e+002	2.067696e+002
1.890637e+002	2.013990e+002
1.888684e+002	1.960283e+002
1.886731e+002	1.953570e+002
1.884777e+002	1.906577e+002
1.882824e+002	1.859584e+002
1.880871e+002	1.852870e+002
1.878918e+002	1.805878e+002
1.876965e+002	1.785738e+002
1.875012e+002	1.725318e+002
1.873059e+002	1.658185e+002
1.871105e+002	1.644758e+002
1.869152e+002	1.617905e+002
1.867199e+002	1.611192e+002
1.865246e+002	1.577625e+002
1.863293e+002	1.523919e+002
1.861340e+002	1.456786e+002
1.859387e+002	1.416506e+002
1.857433e+002	1.382940e+002
1.855480e+002	1.356086e+002
1.853527e+002	1.322520e+002
1.851574e+002	1.302380e+002
1.849621e+002	1.248674e+002
1.847668e+002	1.208394e+002
1.845715e+002	1.188254e+002
1.843761e+002	1.141261e+002
1.841808e+002	1.121121e+002
1.839855e+002	1.107694e+002
1.837902e+002	1.067415e+002
1.835949e+002	1.040561e+002
1.833996e+002	1.107694e+002
1.832043e+002	1.080841e+002
1.830090e+002	9.734284e+001
1.828136e+002	9.600018e+001
1.826183e+002	8.660156e+001
1.824230e+002	8.458757e+001
1.822277e+002	8.324491e+001
1.820324e+002	7.653161e+001
1.818371e+002	7.586028e+001
1.816418e+002	7.116097e+001
1.814464e+002	6.847565e+001
1.812511e+002	6.243368e+001
1.810558e+002	5.907703e+001
1.808605e+002	5.706304e+001
1.806652e+002	6.243368e+001
1.804699e+002	6.243368e+001
1.802746e+002	5.370639e+001
1.800792e+002	4.967841e+001
1.798839e+002	5.437772e+001
1.796886e+002	5.773437e+001
1.794933e+002	4.766442e+001
1.792980e+002	5.236373e+001
1.791027e+002	4.162246e+001
1.789074e+002	3.222383e+001
1.787120e+002	2.551054e+001
1.785167e+002	2.215389e+001
1.783214e+002	1.879724e+001
1.781261e+002	2.349655e+001
1.779308e+002	1.611192e+001
1.777355e+002	1.141261e+001
1.775402e+002	6.713299e+000
1.773448e+002	8.727289e+000
1.771495e+002	6.041969e+000
1.769542e+002	6.713299e-001
1.767589e+002	8.727289e+000
1.765636e+002	2.013990e+000
1.763683e+002	4.699310e+000
1.761730e+002	6.041969e+000
1.759776e+002	0.000000e+000
