    µm         	nN
-8.670000e-001	2.537249e+000
-8.651250e-001	2.489824e+000
-8.647500e-001	2.442399e+000
-8.658750e-001	2.193416e+000
-8.681250e-001	2.027428e+000
-8.707500e-001	1.754733e+000
-8.730000e-001	1.653955e+000
-8.748750e-001	1.511679e+000
-8.767500e-001	1.404972e+000
-8.786250e-001	1.268625e+000
-8.805000e-001	1.167846e+000
-8.827500e-001	1.067067e+000
-8.842500e-001	9.425762e-001
-8.861250e-001	8.832947e-001
-8.880000e-001	6.995220e-001
-8.898750e-001	6.165278e-001
-8.921250e-001	5.335337e-001
-8.940000e-001	4.742522e-001
-8.958750e-001	3.497610e-001
-8.981250e-001	2.904795e-001
-8.996250e-001	1.126349e-001
-9.015000e-001	9.485044e-002
-9.037500e-001	7.113782e-002
-9.056250e-001	-7.706363e-002
-9.078750e-001	-1.363433e-001
-9.097500e-001	-2.074790e-001
-9.116250e-001	-3.082545e-001
-9.131250e-001	-4.149580e-001
-9.150000e-001	-4.801657e-001
-9.168750e-001	-5.216615e-001
-9.191250e-001	-6.105810e-001
-9.210000e-001	-6.757888e-001
-9.232500e-001	-7.469244e-001
-9.251250e-001	-8.595559e-001
-9.266250e-001	-9.188356e-001
-9.285000e-001	-9.603314e-001
-9.303750e-001	-9.662593e-001
-9.326250e-001	-1.084819e+000
-9.345000e-001	-1.084819e+000
-9.367500e-001	-1.185594e+000
-9.386250e-001	-1.221162e+000
-9.401250e-001	-1.387145e+000
-9.420000e-001	-1.369361e+000
-9.438750e-001	-1.446425e+000
-9.457500e-001	-1.505705e+000
-9.480000e-001	-1.541273e+000
-9.498750e-001	-1.606480e+000
-9.513750e-001	-1.689472e+000
-9.532500e-001	-1.713184e+000
-9.555000e-001	-1.867311e+000
-9.573751e-001	-1.855455e+000
-9.596250e-001	-1.891023e+000
-9.614999e-001	-1.991798e+000
-9.633750e-001	-1.962158e+000
-9.652500e-001	-2.068862e+000
-9.671249e-001	-2.098502e+000
-9.693750e-001	-2.151854e+000
-9.712500e-001	-2.217061e+000
-9.731250e-001	-2.311909e+000
-9.750000e-001	-2.347477e+000
-9.772500e-001	-2.371189e+000
-9.787500e-001	-2.507532e+000
-9.806250e-001	-2.454180e+000
-9.825000e-001	-2.460108e+000
-9.843750e-001	-2.519388e+000
-9.862500e-001	-2.543100e+000
-9.881250e-001	-2.596451e+000
-9.900000e-001	-2.572740e+000
-9.918750e-001	-2.715011e+000
-9.937499e-001	-2.792075e+000
-9.956250e-001	-2.786147e+000
-9.978750e-001	-2.845426e+000
-9.997500e-001	-2.857282e+000
-1.001625e+000	-2.904706e+000
-1.003500e+000	-2.999553e+000
-1.005375e+000	-3.005481e+000
-1.007625e+000	-3.035121e+000
-1.009125e+000	-3.082545e+000
-1.011375e+000	-3.189249e+000
-1.013250e+000	-3.248528e+000
-1.015500e+000	-3.248528e+000
-1.017375e+000	-3.319664e+000
-1.019250e+000	-3.373016e+000
-1.021125e+000	-3.396728e+000
-1.023000e+000	-3.503431e+000
-1.024875e+000	-3.456007e+000
-1.026750e+000	-3.467863e+000
-1.028625e+000	-3.610135e+000
-1.030500e+000	-3.580495e+000
-1.032375e+000	-3.616063e+000
-1.033875e+000	-3.699054e+000
-1.035750e+000	-3.687198e+000
-1.038000e+000	-3.758334e+000
-1.039875e+000	-3.793902e+000
-1.041750e+000	-3.847254e+000
-1.043625e+000	-3.847254e+000
-1.045875e+000	-3.894677e+000
-1.047750e+000	-3.995453e+000
-1.049625e+000	-3.995453e+000
-1.051500e+000	-4.102156e+000
-1.053375e+000	-4.143652e+000
-1.055625e+000	-4.197004e+000
-1.057125e+000	-4.191076e+000
-1.059000e+000	-4.202932e+000
-1.060875e+000	-4.291851e+000
-1.062750e+000	-4.262211e+000
-1.065000e+000	-4.297779e+000
-1.066875e+000	-4.386699e+000
-1.068750e+000	-4.392627e+000
-1.070625e+000	-4.386699e+000
-1.072500e+000	-4.362987e+000
-1.074375e+000	-4.481546e+000
-1.076250e+000	-4.481546e+000
-1.078500e+000	-4.552682e+000
-1.080375e+000	-4.534898e+000
-1.082250e+000	-4.606034e+000
-1.084125e+000	-4.546754e+000
-1.086000e+000	-4.659385e+000
-1.087875e+000	-4.635674e+000
-1.090125e+000	-4.706809e+000
-1.092000e+000	-4.677169e+000
-1.093875e+000	-4.777945e+000
-1.095750e+000	-4.783873e+000
-1.097625e+000	-4.807585e+000
-1.099125e+000	-4.837225e+000
-1.101375e+000	-4.955784e+000
-1.103250e+000	-4.902432e+000
-1.105125e+000	-4.878721e+000
-1.107000e+000	-4.754233e+000
-1.108875e+000	-4.777945e+000
-1.110750e+000	-4.831297e+000
-1.112625e+000	-4.914288e+000
-1.114500e+000	-4.920216e+000
-1.116750e+000	-4.967640e+000
-1.119000e+000	-4.973568e+000
-1.120875e+000	-4.991352e+000
-1.122750e+000	-4.973568e+000
-1.124250e+000	-5.050631e+000
-1.126125e+000	-5.086199e+000
-1.128000e+000	-5.139551e+000
-1.130250e+000	-5.121767e+000
-1.132500e+000	-5.038776e+000
-1.134375e+000	-4.997280e+000
-1.136250e+000	-5.068415e+000
-1.137750e+000	-5.115839e+000
-1.139625e+000	-5.151407e+000
-1.141500e+000	-5.198831e+000
-1.143750e+000	-5.222543e+000
-1.145625e+000	-5.210687e+000
-1.147500e+000	-5.157335e+000
-1.149375e+000	-5.068415e+000
-1.150875e+000	-5.109911e+000
-1.152750e+000	-5.163263e+000
-1.154625e+000	-5.145479e+000
-1.156875e+000	-5.240327e+000
-1.158750e+000	-5.228471e+000
-1.161000e+000	-5.151407e+000
-1.162875e+000	-5.175119e+000
-1.164750e+000	-5.234399e+000
-1.166250e+000	-5.299607e+000
-1.168875e+000	-5.305534e+000
-1.170750e+000	-5.204759e+000
-1.172625e+000	-5.269967e+000
-1.174500e+000	-5.287751e+000
-1.176375e+000	-5.228471e+000
-1.178250e+000	-5.264039e+000
-1.180500e+000	-5.281823e+000
-1.182000e+000	-5.335174e+000
-1.183875e+000	-5.341102e+000
-1.186125e+000	-5.335174e+000
-1.188000e+000	-5.376670e+000
-1.189875e+000	-5.424094e+000
-1.191375e+000	-5.400382e+000
-1.193250e+000	-5.465590e+000
-1.195500e+000	-5.489301e+000
-1.197375e+000	-5.435950e+000
-1.199250e+000	-5.536725e+000
-1.201125e+000	-5.548581e+000
-1.203000e+000	-4.825369e+000
-1.204500e+000	-4.635674e+000
-1.206750e+000	-4.629745e+000
-1.208625e+000	-4.635674e+000
-1.210875e+000	-4.665313e+000
-1.212750e+000	-4.617890e+000
-1.214625e+000	-4.653458e+000
-1.216500e+000	-4.700881e+000
-1.218375e+000	-4.689025e+000
-1.220625e+000	-4.665313e+000
-1.222500e+000	-4.706809e+000
-1.224375e+000	-4.718665e+000
-1.226250e+000	-4.718665e+000
-1.228125e+000	-4.694953e+000
-1.230375e+000	-4.718665e+000
-1.231875e+000	-4.677169e+000
-1.233750e+000	-4.706809e+000
-1.236000e+000	-4.730521e+000
-1.237875e+000	-4.754233e+000
-1.239750e+000	-4.754233e+000
-1.242000e+000	-4.718665e+000
-1.243500e+000	-4.754233e+000
-1.245000e+000	-4.689025e+000
-1.247250e+000	-4.724593e+000
-1.249125e+000	-4.754233e+000
-1.251375e+000	-4.748305e+000
-1.253250e+000	-4.724593e+000
-1.255125e+000	-4.700881e+000
-1.256625e+000	-4.718665e+000
-1.258500e+000	-4.736449e+000
-1.260375e+000	-4.801657e+000
-1.262625e+000	-4.754233e+000
-1.264500e+000	-4.754233e+000
-1.266750e+000	-4.837225e+000
-1.268250e+000	-4.801657e+000
-1.270125e+000	-4.801657e+000
-1.272000e+000	-4.849081e+000
-1.273875e+000	-4.825369e+000
-1.276125e+000	-4.813513e+000
-1.278375e+000	-4.754233e+000
-1.280250e+000	-4.783873e+000
-1.281750e+000	-4.754233e+000
-1.284000e+000	-4.801657e+000
-1.285875e+000	-4.712737e+000
-1.287750e+000	-4.783873e+000
-1.289625e+000	-4.760161e+000
-1.291500e+000	-4.831297e+000
-1.293750e+000	-4.760161e+000
-1.295250e+000	-4.807585e+000
-1.297125e+000	-4.884648e+000
-1.299000e+000	-4.849081e+000
-1.300875e+000	-4.837225e+000
-1.303125e+000	-4.783873e+000
-1.305000e+000	-4.843153e+000
-1.306875e+000	-4.807585e+000
-1.308375e+000	-4.866865e+000
-1.310250e+000	-4.896505e+000
-1.312125e+000	-4.866865e+000
-1.314375e+000	-4.884648e+000
-1.316250e+000	-4.872792e+000
-1.318500e+000	-4.914288e+000
-1.320375e+000	-4.943928e+000
-1.321875e+000	-4.938000e+000
-1.324125e+000	-5.003208e+000
-1.326000e+000	-4.866865e+000
-1.327875e+000	-4.860937e+000
-1.330125e+000	-4.866865e+000
-1.332000e+000	-4.890576e+000
-1.333875e+000	-4.961712e+000
-1.335750e+000	-4.943928e+000
-1.337625e+000	-4.938000e+000
-1.339500e+000	-4.902432e+000
-1.341375e+000	-4.979496e+000
-1.343625e+000	-4.926144e+000
-1.345500e+000	-4.997280e+000
-1.347000e+000	-4.943928e+000
-1.348875e+000	-4.997280e+000
-1.350750e+000	-5.009136e+000
-1.352625e+000	-5.032848e+000
-1.354500e+000	-5.009136e+000
-1.356750e+000	-4.973568e+000
-1.358625e+000	-5.009136e+000
-1.360500e+000	-5.050631e+000
-1.362375e+000	-5.074344e+000
-1.364250e+000	-5.020992e+000
-1.366125e+000	-5.062488e+000
-1.368375e+000	-4.973568e+000
-1.370250e+000	-4.932072e+000
-1.372500e+000	-4.938000e+000
-1.374000e+000	-4.979496e+000
-1.375875e+000	-4.997280e+000
-1.377750e+000	-5.009136e+000
-1.379625e+000	-4.973568e+000
-1.381875e+000	-5.020992e+000
-1.384125e+000	-4.991352e+000
-1.386000e+000	-4.991352e+000
-1.387500e+000	-5.026920e+000
-1.389375e+000	-5.032848e+000
-1.391250e+000	-5.038776e+000
-1.393125e+000	-5.056560e+000
-1.395375e+000	-5.109911e+000
-1.397250e+000	-5.068415e+000
-1.399125e+000	-5.092128e+000
-1.401000e+000	-5.103983e+000
-1.402875e+000	-5.074344e+000
-1.404750e+000	-5.127695e+000
-1.406625e+000	-5.115839e+000
-1.408875e+000	-5.080271e+000
-1.410750e+000	-5.145479e+000
-1.412250e+000	-5.145479e+000
-1.414125e+000	-5.103983e+000
-1.416375e+000	-5.127695e+000
-1.418250e+000	-5.121767e+000
-1.420125e+000	-5.133623e+000
-1.422000e+000	-5.098055e+000
-1.424250e+000	-5.086199e+000
-1.426125e+000	-5.068415e+000
-1.428000e+000	-5.109911e+000
-1.429500e+000	-5.127695e+000
-1.431375e+000	-5.098055e+000
-1.433625e+000	-5.092128e+000
-1.435500e+000	-5.133623e+000
-1.437375e+000	-5.127695e+000
-1.439250e+000	-5.186975e+000
-1.441125e+000	-5.181047e+000
-1.443375e+000	-5.204759e+000
-1.445250e+000	-5.181047e+000
-1.447125e+000	-5.234399e+000
-1.449000e+000	-5.210687e+000
-1.450875e+000	-5.204759e+000
-1.452750e+000	-5.240327e+000
-1.454625e+000	-5.258111e+000
-1.456500e+000	-5.234399e+000
-1.458375e+000	-5.240327e+000
-1.460250e+000	-5.222543e+000
-1.462125e+000	-5.269967e+000
-1.464000e+000	-5.240327e+000
-1.465875e+000	-5.275894e+000
-1.467750e+000	-5.299607e+000
-1.469625e+000	-5.335174e+000
-1.471500e+000	-5.335174e+000
-1.473750e+000	-5.317391e+000
-1.476000e+000	-5.364814e+000
-1.477500e+000	-5.388526e+000
-1.479375e+000	-5.418166e+000
-1.481250e+000	-5.418166e+000
-1.483125e+000	-5.394454e+000
-1.485000e+000	-5.441878e+000
-1.487625e+000	-5.435950e+000
-1.489875e+000	-5.471517e+000
-1.491750e+000	-5.465590e+000
-1.493250e+000	-5.471517e+000
-1.494750e+000	-5.495230e+000
-1.497000e+000	-5.554509e+000
-1.498875e+000	-5.530797e+000
-1.500750e+000	-5.477446e+000
-1.502625e+000	-5.566365e+000
-1.504500e+000	-5.495230e+000
-1.506375e+000	-5.489301e+000
-1.508250e+000	-5.542653e+000
-1.509750e+000	-5.560437e+000
-1.512000e+000	-5.530797e+000
-1.513875e+000	-5.477446e+000
-1.515750e+000	-5.554509e+000
-1.517625e+000	-4.973568e+000
-1.519500e+000	-4.576394e+000
-1.521750e+000	-4.546754e+000
-1.523625e+000	-4.534898e+000
-1.525875e+000	-4.570466e+000
-1.527750e+000	-4.493402e+000
-1.529625e+000	-4.588250e+000
-1.531500e+000	-4.552682e+000
-1.533375e+000	-4.564538e+000
-1.535250e+000	-4.570466e+000
-1.537125e+000	-4.534898e+000
-1.539375e+000	-4.570466e+000
-1.541250e+000	-4.570466e+000
-1.543125e+000	-4.493402e+000
-1.545000e+000	-4.588250e+000
-1.546875e+000	-4.523042e+000
-1.548750e+000	-4.511186e+000
-1.550250e+000	-4.528970e+000
-1.552500e+000	-4.576394e+000
-1.554750e+000	-4.582322e+000
